,期号,日期,号码,百,十,个,和值,和值（同比）跨度,年份,和尾,百大小,十大小,个大小,和尾大小,百奇偶,十奇偶,个奇偶,百余数,十余数,个余数,百ZH,十ZH,个ZH,和尾ZH,跨度
1223,8108,2008/4/24,562,5,6,2,13,5,2008,3,大,大,小,小,奇,偶,偶,2,0,2,质,合,质,质,4
1224,8109,2008/4/25,518,5,1,8,14,1,2008,4,大,小,大,小,奇,奇,偶,2,1,2,质,他,合,合,7
1225,8110,2008/4/26,393,3,9,3,15,1,2008,5,小,大,小,大,奇,奇,奇,0,0,0,质,合,质,质,6
1226,8111,2008/4/27,891,8,9,1,18,3,2008,8,大,大,小,大,偶,奇,奇,2,0,1,合,合,他,合,8
1227,8112,2008/4/28,476,4,7,6,17,1,2008,7,小,大,大,大,偶,奇,偶,1,1,0,合,质,合,质,3
1228,8113,2008/4/29,112,1,1,2,4,13,2008,4,小,小,小,小,奇,奇,偶,1,1,2,他,他,质,合,1
1229,8114,2008/4/30,246,2,4,6,12,8,2008,2,小,小,大,小,偶,偶,偶,2,1,0,质,合,合,质,4
1230,8115,2008/5/1,888,8,8,8,24,12,2008,4,大,大,大,小,偶,偶,偶,2,2,2,合,合,合,合,0
1231,8116,2008/5/2,695,6,9,5,20,4,2008,0,大,大,大,小,偶,奇,奇,0,0,2,合,合,质,他,4
1232,8117,2008/5/3,999,9,9,9,27,7,2008,7,大,大,大,大,奇,奇,奇,0,0,0,合,合,合,质,0
1233,8118,2008/5/4,177,1,7,7,15,12,2008,5,小,大,大,大,奇,奇,奇,1,1,1,他,质,质,质,6
1234,8119,2008/5/5,874,8,7,4,19,4,2008,9,大,大,小,大,偶,奇,偶,2,1,1,合,质,合,合,4
1235,8120,2008/5/6,754,7,5,4,16,3,2008,6,大,大,小,大,奇,奇,偶,1,2,1,质,质,合,合,3
1236,8121,2008/5/7,118,1,1,8,10,6,2008,0,小,小,大,小,奇,奇,偶,1,1,2,他,他,合,他,7
1237,8122,2008/5/8,313,3,1,3,7,3,2008,7,小,小,小,大,奇,奇,奇,0,1,0,质,他,质,质,2
1238,8123,2008/5/9,834,8,3,4,15,8,2008,5,大,小,小,大,偶,奇,偶,2,0,1,合,质,合,质,5
1239,8124,2008/5/10,109,1,0,9,10,5,2008,0,小,小,大,小,奇,偶,奇,1,0,0,他,他,合,他,9
1240,8125,2008/5/11,288,2,8,8,18,8,2008,8,小,大,大,大,偶,偶,偶,2,2,2,质,合,合,合,6
1241,8126,2008/5/12,294,2,9,4,15,3,2008,5,小,大,小,大,偶,奇,偶,2,0,1,质,合,合,质,7
1242,8127,2008/5/13,861,8,6,1,15,0,2008,5,大,大,小,大,偶,偶,奇,2,0,1,合,合,他,质,7
1243,8128,2008/5/14,495,4,9,5,18,3,2008,8,小,大,大,大,偶,奇,奇,1,0,2,合,合,质,合,5
1244,8129,2008/5/15,860,8,6,0,14,4,2008,4,大,大,小,小,偶,偶,偶,2,0,0,合,合,他,合,8
1245,8130,2008/5/16,808,8,0,8,16,2,2008,6,大,小,大,大,偶,偶,偶,2,0,2,合,他,合,合,8
1246,8131,2008/5/17,643,6,4,3,13,3,2008,3,大,小,小,小,偶,偶,奇,0,1,0,合,合,质,质,3
1247,8132,2008/5/18,254,2,5,4,11,2,2008,1,小,大,小,小,偶,奇,偶,2,2,1,质,质,合,他,3
1248,8133,2008/5/19,286,2,8,6,16,5,2008,6,小,大,大,大,偶,偶,偶,2,2,0,质,合,合,合,6
1249,8134,2008/5/20,542,5,4,2,11,5,2008,1,大,小,小,小,奇,偶,偶,2,1,2,质,合,质,他,3
1250,8135,2008/5/21,964,9,6,4,19,8,2008,9,大,大,小,大,奇,偶,偶,0,0,1,合,合,合,合,5
1251,8136,2008/5/22,467,4,6,7,17,2,2008,7,小,大,大,大,偶,偶,奇,1,0,1,合,合,质,质,3
1252,8137,2008/5/23,62,0,6,2,8,9,2008,8,小,大,小,大,偶,偶,偶,0,0,2,他,合,质,合,4
1253,8138,2008/5/24,841,8,4,1,13,5,2008,3,大,小,小,小,偶,偶,奇,2,1,1,合,合,他,质,7
1254,8139,2008/5/25,759,7,5,9,21,8,2008,1,大,大,大,小,奇,奇,奇,1,2,0,质,质,合,他,4
1255,8140,2008/5/26,414,4,1,4,9,12,2008,9,小,小,小,大,偶,奇,偶,1,1,1,合,他,合,合,3
1256,8141,2008/5/27,516,5,1,6,12,3,2008,2,大,小,大,小,奇,奇,偶,2,1,0,质,他,合,质,5
1257,8142,2008/5/28,672,6,7,2,15,3,2008,5,大,大,小,大,偶,奇,偶,0,1,2,合,质,质,质,5
1258,8143,2008/5/29,858,8,5,8,21,6,2008,1,大,大,大,小,偶,奇,偶,2,2,2,合,质,合,他,3
1259,8144,2008/5/30,186,1,8,6,15,6,2008,5,小,大,大,大,奇,偶,偶,1,2,0,他,合,合,质,7
1260,8145,2008/5/31,24,0,2,4,6,9,2008,6,小,小,小,大,偶,偶,偶,0,2,1,他,质,合,合,2
1261,8146,2008/6/1,142,1,4,2,7,1,2008,7,小,小,小,大,奇,偶,偶,1,1,2,他,合,质,质,3
1262,8147,2008/6/2,897,8,9,7,24,17,2008,4,大,大,大,小,偶,奇,奇,2,0,1,合,合,质,合,2
1263,8148,2008/6/3,294,2,9,4,15,9,2008,5,小,大,小,大,偶,奇,偶,2,0,1,质,合,合,质,7
1264,8149,2008/6/4,916,9,1,6,16,1,2008,6,大,小,大,大,奇,奇,偶,0,1,0,合,他,合,合,8
1265,8150,2008/6/5,584,5,8,4,17,1,2008,7,大,大,小,大,奇,偶,偶,2,2,1,质,合,合,质,4
1266,8151,2008/6/6,673,6,7,3,16,1,2008,6,大,大,小,大,偶,奇,奇,0,1,0,合,质,质,合,4
1267,8152,2008/6/7,824,8,2,4,14,2,2008,4,大,小,小,小,偶,偶,偶,2,2,1,合,质,合,合,6
1268,8153,2008/6/8,666,6,6,6,18,4,2008,8,大,大,大,大,偶,偶,偶,0,0,0,合,合,合,合,0
1269,8154,2008/6/9,910,9,1,0,10,8,2008,0,大,小,小,小,奇,奇,偶,0,1,0,合,他,他,他,9
1270,8155,2008/6/10,357,3,5,7,15,5,2008,5,小,大,大,大,奇,奇,奇,0,2,1,质,质,质,质,4
1271,8156,2008/6/11,72,0,7,2,9,6,2008,9,小,大,小,大,偶,奇,偶,0,1,2,他,质,质,合,5
1272,8157,2008/6/12,749,7,4,9,20,11,2008,0,大,小,大,小,奇,偶,奇,1,1,0,质,合,合,他,5
1273,8158,2008/6/13,805,8,0,5,13,7,2008,3,大,小,大,小,偶,偶,奇,2,0,2,合,他,质,质,8
1274,8159,2008/6/14,604,6,0,4,10,3,2008,0,大,小,小,小,偶,偶,偶,0,0,1,合,他,合,他,6
1275,8160,2008/6/15,749,7,4,9,20,10,2008,0,大,小,大,小,奇,偶,奇,1,1,0,质,合,合,他,5
1276,8161,2008/6/16,767,7,6,7,20,0,2008,0,大,大,大,小,奇,偶,奇,1,0,1,质,合,质,他,1
1277,8162,2008/6/17,674,6,7,4,17,3,2008,7,大,大,小,大,偶,奇,偶,0,1,1,合,质,合,质,3
1278,8163,2008/6/18,307,3,0,7,10,7,2008,0,小,小,大,小,奇,偶,奇,0,0,1,质,他,质,他,7
1279,8164,2008/6/19,182,1,8,2,11,1,2008,1,小,大,小,小,奇,偶,偶,1,2,2,他,合,质,他,7
1280,8165,2008/6/20,230,2,3,0,5,6,2008,5,小,小,小,大,偶,奇,偶,2,0,0,质,质,他,质,3
1281,8166,2008/6/21,880,8,8,0,16,11,2008,6,大,大,小,大,偶,偶,偶,2,2,0,合,合,他,合,8
1282,8167,2008/6/22,462,4,6,2,12,4,2008,2,小,大,小,小,偶,偶,偶,1,0,2,合,合,质,质,4
1283,8168,2008/6/23,634,6,3,4,13,1,2008,3,大,小,小,小,偶,奇,偶,0,0,1,合,质,合,质,3
1284,8169,2008/6/24,997,9,9,7,25,12,2008,5,大,大,大,大,奇,奇,奇,0,0,1,合,合,质,质,2
1285,8170,2008/6/25,442,4,4,2,10,15,2008,0,小,小,小,小,偶,偶,偶,1,1,2,合,合,质,他,2
1286,8171,2008/6/26,732,7,3,2,12,2,2008,2,大,小,小,小,奇,奇,偶,1,0,2,质,质,质,质,5
1287,8172,2008/6/27,382,3,8,2,13,1,2008,3,小,大,小,小,奇,偶,偶,0,2,2,质,合,质,质,6
1288,8173,2008/6/28,615,6,1,5,12,1,2008,2,大,小,大,小,偶,奇,奇,0,1,2,合,他,质,质,5
1289,8174,2008/6/29,887,8,8,7,23,11,2008,3,大,大,大,小,偶,偶,奇,2,2,1,合,合,质,质,1
1290,8175,2008/6/30,516,5,1,6,12,11,2008,2,大,小,大,小,奇,奇,偶,2,1,0,质,他,合,质,5
1291,8176,2008/7/1,542,5,4,2,11,1,2008,1,大,小,小,小,奇,偶,偶,2,1,2,质,合,质,他,3
1292,8177,2008/7/2,104,1,0,4,5,6,2008,5,小,小,小,大,奇,偶,偶,1,0,1,他,他,合,质,4
1293,8178,2008/7/3,344,3,4,4,11,6,2008,1,小,小,小,小,奇,偶,偶,0,1,1,质,合,合,他,1
1294,8179,2008/7/4,122,1,2,2,5,6,2008,5,小,小,小,大,奇,偶,偶,1,2,2,他,质,质,质,1
1295,8180,2008/7/5,411,4,1,1,6,1,2008,6,小,小,小,大,偶,奇,奇,1,1,1,合,他,他,合,3
1296,8181,2008/7/6,393,3,9,3,15,9,2008,5,小,大,小,大,奇,奇,奇,0,0,0,质,合,质,质,6
1297,8182,2008/7/7,82,0,8,2,10,5,2008,0,小,大,小,小,偶,偶,偶,0,2,2,他,合,质,他,6
1298,8183,2008/7/8,369,3,6,9,18,8,2008,8,小,大,大,大,奇,偶,奇,0,0,0,质,合,合,合,6
1299,8184,2008/7/9,840,8,4,0,12,6,2008,2,大,小,小,小,偶,偶,偶,2,1,0,合,合,他,质,8
1300,8185,2008/7/10,64,0,6,4,10,2,2008,0,小,大,小,小,偶,偶,偶,0,0,1,他,合,合,他,2
1301,8186,2008/7/11,876,8,7,6,21,11,2008,1,大,大,大,小,偶,奇,偶,2,1,0,合,质,合,他,2
1302,8187,2008/7/12,905,9,0,5,14,7,2008,4,大,小,大,小,奇,偶,奇,0,0,2,合,他,质,合,9
1303,8188,2008/7/13,595,5,9,5,19,5,2008,9,大,大,大,大,奇,奇,奇,2,0,2,质,合,质,合,4
1304,8189,2008/7/14,85,0,8,5,13,6,2008,3,小,大,大,小,偶,偶,奇,0,2,2,他,合,质,质,3
1305,8190,2008/7/15,862,8,6,2,16,3,2008,6,大,大,小,大,偶,偶,偶,2,0,2,合,合,质,合,6
1306,8191,2008/7/16,134,1,3,4,8,8,2008,8,小,小,小,大,奇,奇,偶,1,0,1,他,质,合,合,3
1307,8192,2008/7/17,867,8,6,7,21,13,2008,1,大,大,大,小,偶,偶,奇,2,0,1,合,合,质,他,2
1308,8193,2008/7/18,608,6,0,8,14,7,2008,4,大,小,大,小,偶,偶,偶,0,0,2,合,他,合,合,8
1309,8194,2008/7/19,312,3,1,2,6,8,2008,6,小,小,小,大,奇,奇,偶,0,1,2,质,他,质,合,2
1310,8195,2008/7/20,282,2,8,2,12,6,2008,2,小,大,小,小,偶,偶,偶,2,2,2,质,合,质,质,6
1311,8196,2008/7/21,861,8,6,1,15,3,2008,5,大,大,小,大,偶,偶,奇,2,0,1,合,合,他,质,7
1312,8197,2008/7/22,357,3,5,7,15,0,2008,5,小,大,大,大,奇,奇,奇,0,2,1,质,质,质,质,4
1313,8198,2008/7/23,68,0,6,8,14,1,2008,4,小,大,大,小,偶,偶,偶,0,0,2,他,合,合,合,2
1314,8199,2008/7/24,481,4,8,1,13,1,2008,3,小,大,小,小,偶,偶,奇,1,2,1,合,合,他,质,7
1315,8200,2008/7/25,204,2,0,4,6,7,2008,6,小,小,小,大,偶,偶,偶,2,0,1,质,他,合,合,4
1316,8201,2008/7/26,743,7,4,3,14,8,2008,4,大,小,小,小,奇,偶,奇,1,1,0,质,合,质,合,4
1317,8202,2008/7/27,198,1,9,8,18,4,2008,8,小,大,大,大,奇,奇,偶,1,0,2,他,合,合,合,8
1318,8203,2008/7/28,799,7,9,9,25,7,2008,5,大,大,大,大,奇,奇,奇,1,0,0,质,合,合,质,2
1319,8204,2008/7/29,676,6,7,6,19,6,2008,9,大,大,大,大,偶,奇,偶,0,1,0,合,质,合,合,1
1320,8205,2008/7/30,56,0,5,6,11,8,2008,1,小,大,大,小,偶,奇,偶,0,2,0,他,质,合,他,1
1321,8206,2008/7/31,480,4,8,0,12,1,2008,2,小,大,小,小,偶,偶,偶,1,2,0,合,合,他,质,8
1322,8207,2008/8/1,60,0,6,0,6,6,2008,6,小,大,小,大,偶,偶,偶,0,0,0,他,合,他,合,6
1323,8208,2008/8/2,356,3,5,6,14,8,2008,4,小,大,大,小,奇,奇,偶,0,2,0,质,质,合,合,3
1324,8209,2008/8/3,619,6,1,9,16,2,2008,6,大,小,大,大,偶,奇,奇,0,1,0,合,他,合,合,8
1325,8210,2008/8/4,3,0,0,3,3,13,2008,3,小,小,小,小,偶,偶,奇,0,0,0,他,他,质,质,0
1326,8211,2008/8/5,194,1,9,4,14,11,2008,4,小,大,小,小,奇,奇,偶,1,0,1,他,合,合,合,8
1327,8212,2008/8/6,894,8,9,4,21,7,2008,1,大,大,小,小,偶,奇,偶,2,0,1,合,合,合,他,5
1328,8213,2008/8/7,860,8,6,0,14,7,2008,4,大,大,小,小,偶,偶,偶,2,0,0,合,合,他,合,8
1329,8214,2008/8/8,144,1,4,4,9,5,2008,9,小,小,小,大,奇,偶,偶,1,1,1,他,合,合,合,3
1330,8215,2008/8/9,735,7,3,5,15,6,2008,5,大,小,大,大,奇,奇,奇,1,0,2,质,质,质,质,4
1331,8216,2008/8/10,938,9,3,8,20,5,2008,0,大,小,大,小,奇,奇,偶,0,0,2,合,质,合,他,6
1332,8217,2008/8/11,54,0,5,4,9,11,2008,9,小,大,小,大,偶,奇,偶,0,2,1,他,质,合,合,1
1333,8218,2008/8/12,161,1,6,1,8,1,2008,8,小,大,小,大,奇,偶,奇,1,0,1,他,合,他,合,5
1334,8219,2008/8/13,492,4,9,2,15,7,2008,5,小,大,小,大,偶,奇,偶,1,0,2,合,合,质,质,7
1335,8220,2008/8/14,484,4,8,4,16,1,2008,6,小,大,小,大,偶,偶,偶,1,2,1,合,合,合,合,4
1336,8221,2008/8/15,398,3,9,8,20,4,2008,0,小,大,大,小,奇,奇,偶,0,0,2,质,合,合,他,6
1337,8222,2008/8/16,108,1,0,8,9,11,2008,9,小,小,大,大,奇,偶,偶,1,0,2,他,他,合,合,8
1338,8223,2008/8/17,996,9,9,6,24,15,2008,4,大,大,大,小,奇,奇,偶,0,0,0,合,合,合,合,3
1339,8224,2008/8/18,632,6,3,2,11,13,2008,1,大,小,小,小,偶,奇,偶,0,0,2,合,质,质,他,4
1340,8225,2008/8/19,354,3,5,4,12,1,2008,2,小,大,小,小,奇,奇,偶,0,2,1,质,质,合,质,2
1341,8226,2008/8/20,982,9,8,2,19,7,2008,9,大,大,小,大,奇,偶,偶,0,2,2,合,合,质,合,7
1342,8227,2008/8/21,587,5,8,7,20,1,2008,0,大,大,大,小,奇,偶,奇,2,2,1,质,合,质,他,3
1343,8228,2008/8/22,759,7,5,9,21,1,2008,1,大,大,大,小,奇,奇,奇,1,2,0,质,质,合,他,4
1344,8229,2008/8/23,194,1,9,4,14,7,2008,4,小,大,小,小,奇,奇,偶,1,0,1,他,合,合,合,8
1345,8230,2008/8/24,632,6,3,2,11,3,2008,1,大,小,小,小,偶,奇,偶,0,0,2,合,质,质,他,4
1346,8231,2008/8/25,635,6,3,5,14,3,2008,4,大,小,大,小,偶,奇,奇,0,0,2,合,质,质,合,3
1347,8232,2008/8/26,840,8,4,0,12,2,2008,2,大,小,小,小,偶,偶,偶,2,1,0,合,合,他,质,8
1348,8233,2008/8/27,26,0,2,6,8,4,2008,8,小,小,大,大,偶,偶,偶,0,2,0,他,质,合,合,4
1349,8234,2008/8/28,800,8,0,0,8,0,2008,8,大,小,小,大,偶,偶,偶,2,0,0,合,他,他,合,8
1350,8235,2008/8/29,372,3,7,2,12,4,2008,2,小,大,小,小,奇,奇,偶,0,1,2,质,质,质,质,5
1351,8236,2008/8/30,796,7,9,6,22,10,2008,2,大,大,大,小,奇,奇,偶,1,0,0,质,合,合,质,3
1352,8237,2008/8/31,114,1,1,4,6,16,2008,6,小,小,小,大,奇,奇,偶,1,1,1,他,他,合,合,3
1353,8238,2008/9/1,259,2,5,9,16,10,2008,6,小,大,大,大,偶,奇,奇,2,2,0,质,质,合,合,7
1354,8239,2008/9/2,443,4,4,3,11,5,2008,1,小,小,小,小,偶,偶,奇,1,1,0,合,合,质,他,1
1355,8240,2008/9/3,300,3,0,0,3,8,2008,3,小,小,小,小,奇,偶,偶,0,0,0,质,他,他,质,3
1356,8241,2008/9/4,569,5,6,9,20,17,2008,0,大,大,大,小,奇,偶,奇,2,0,0,质,合,合,他,4
1357,8242,2008/9/5,384,3,8,4,15,5,2008,5,小,大,小,大,奇,偶,偶,0,2,1,质,合,合,质,5
1358,8243,2008/9/6,939,9,3,9,21,6,2008,1,大,小,大,小,奇,奇,奇,0,0,0,合,质,合,他,6
1359,8244,2008/9/7,213,2,1,3,6,15,2008,6,小,小,小,大,偶,奇,奇,2,1,0,质,他,质,合,2
1360,8245,2008/9/8,770,7,7,0,14,8,2008,4,大,大,小,小,奇,奇,偶,1,1,0,质,质,他,合,7
1361,8246,2008/9/9,716,7,1,6,14,0,2008,4,大,小,大,小,奇,奇,偶,1,1,0,质,他,合,合,6
1362,8247,2008/9/10,360,3,6,0,9,5,2008,9,小,大,小,大,奇,偶,偶,0,0,0,质,合,他,合,6
1363,8248,2008/9/11,251,2,5,1,8,1,2008,8,小,大,小,大,偶,奇,奇,2,2,1,质,质,他,合,4
1364,8249,2008/9/12,157,1,5,7,13,5,2008,3,小,大,大,小,奇,奇,奇,1,2,1,他,质,质,质,6
1365,8250,2008/9/13,180,1,8,0,9,4,2008,9,小,大,小,大,奇,偶,偶,1,2,0,他,合,他,合,8
1366,8251,2008/9/14,596,5,9,6,20,11,2008,0,大,大,大,小,奇,奇,偶,2,0,0,质,合,合,他,4
1367,8252,2008/9/15,518,5,1,8,14,6,2008,4,大,小,大,小,奇,奇,偶,2,1,2,质,他,合,合,7
1368,8253,2008/9/16,205,2,0,5,7,7,2008,7,小,小,大,大,偶,偶,奇,2,0,2,质,他,质,质,5
1369,8254,2008/9/17,430,4,3,0,7,0,2008,7,小,小,小,大,偶,奇,偶,1,0,0,合,质,他,质,4
1370,8255,2008/9/18,478,4,7,8,19,12,2008,9,小,大,大,大,偶,奇,偶,1,1,2,合,质,合,合,4
1371,8256,2008/9/19,925,9,2,5,16,3,2008,6,大,小,大,大,奇,偶,奇,0,2,2,合,质,质,合,7
1372,8257,2008/9/20,757,7,5,7,19,3,2008,9,大,大,大,大,奇,奇,奇,1,2,1,质,质,质,合,2
1373,8258,2008/9/21,826,8,2,6,16,3,2008,6,大,小,大,大,偶,偶,偶,2,2,0,合,质,合,合,6
1374,8259,2008/9/22,585,5,8,5,18,2,2008,8,大,大,大,大,奇,偶,奇,2,2,2,质,合,质,合,3
1375,8260,2008/9/23,276,2,7,6,15,3,2008,5,小,大,大,大,偶,奇,偶,2,1,0,质,质,合,质,5
1376,8261,2008/9/24,10,0,1,0,1,14,2008,1,小,小,小,小,偶,奇,偶,0,1,0,他,他,他,他,1
1377,8262,2008/9/25,589,5,8,9,22,21,2008,2,大,大,大,小,奇,偶,奇,2,2,0,质,合,合,质,4
1378,8263,2008/9/26,40,0,4,0,4,18,2008,4,小,小,小,小,偶,偶,偶,0,1,0,他,合,他,合,4
1379,8264,2008/9/27,533,5,3,3,11,7,2008,1,大,小,小,小,奇,奇,奇,2,0,0,质,质,质,他,2
1380,8265,2008/9/28,728,7,2,8,17,6,2008,7,大,小,大,大,奇,偶,偶,1,2,2,质,质,合,质,6
1381,8266,2008/9/29,937,9,3,7,19,2,2008,9,大,小,大,大,奇,奇,奇,0,0,1,合,质,质,合,6
1382,8267,2008/9/30,851,8,5,1,14,5,2008,4,大,大,小,小,偶,奇,奇,2,2,1,合,质,他,合,7
1383,8268,2008/10/1,595,5,9,5,19,5,2008,9,大,大,大,大,奇,奇,奇,2,0,2,质,合,质,合,4
1384,8269,2008/10/2,119,1,1,9,11,8,2008,1,小,小,大,小,奇,奇,奇,1,1,0,他,他,合,他,8
1385,8270,2008/10/3,44,0,4,4,8,3,2008,8,小,小,小,大,偶,偶,偶,0,1,1,他,合,合,合,0
1386,8271,2008/10/4,350,3,5,0,8,0,2008,8,小,大,小,大,奇,奇,偶,0,2,0,质,质,他,合,5
1387,8272,2008/10/5,939,9,3,9,21,13,2008,1,大,小,大,小,奇,奇,奇,0,0,0,合,质,合,他,6
1388,8273,2008/10/6,77,0,7,7,14,7,2008,4,小,大,大,小,偶,奇,奇,0,1,1,他,质,质,合,0
1389,8274,2008/10/7,27,0,2,7,9,5,2008,9,小,小,大,大,偶,偶,奇,0,2,1,他,质,质,合,5
1390,8275,2008/10/8,122,1,2,2,5,4,2008,5,小,小,小,大,奇,偶,偶,1,2,2,他,质,质,质,1
1391,8276,2008/10/9,27,0,2,7,9,4,2008,9,小,小,大,大,偶,偶,奇,0,2,1,他,质,质,合,5
1392,8277,2008/10/10,621,6,2,1,9,0,2008,9,大,小,小,大,偶,偶,奇,0,2,1,合,质,他,合,5
1393,8278,2008/10/11,793,7,9,3,19,10,2008,9,大,大,小,大,奇,奇,奇,1,0,0,质,合,质,合,6
1394,8279,2008/10/12,894,8,9,4,21,2,2008,1,大,大,小,小,偶,奇,偶,2,0,1,合,合,合,他,5
1395,8280,2008/10/13,659,6,5,9,20,1,2008,0,大,大,大,小,偶,奇,奇,0,2,0,合,质,合,他,4
1396,8281,2008/10/14,212,2,1,2,5,15,2008,5,小,小,小,大,偶,奇,偶,2,1,2,质,他,质,质,1
1397,8282,2008/10/15,150,1,5,0,6,1,2008,6,小,大,小,大,奇,奇,偶,1,2,0,他,质,他,合,5
1398,8283,2008/10/16,806,8,0,6,14,8,2008,4,大,小,大,小,偶,偶,偶,2,0,0,合,他,合,合,8
1399,8284,2008/10/17,854,8,5,4,17,3,2008,7,大,大,小,大,偶,奇,偶,2,2,1,合,质,合,质,4
1400,8285,2008/10/18,343,3,4,3,10,7,2008,0,小,小,小,小,奇,偶,奇,0,1,0,质,合,质,他,1
1401,8286,2008/10/19,519,5,1,9,15,5,2008,5,大,小,大,大,奇,奇,奇,2,1,0,质,他,合,质,8
1402,8287,2008/10/20,671,6,7,1,14,1,2008,4,大,大,小,小,偶,奇,奇,0,1,1,合,质,他,合,6
1403,8288,2008/10/21,432,4,3,2,9,5,2008,9,小,小,小,大,偶,奇,偶,1,0,2,合,质,质,合,2
1404,8289,2008/10/22,141,1,4,1,6,3,2008,6,小,小,小,大,奇,偶,奇,1,1,1,他,合,他,合,3
1405,8290,2008/10/23,336,3,3,6,12,6,2008,2,小,小,大,小,奇,奇,偶,0,0,0,质,质,合,质,3
1406,8291,2008/10/24,497,4,9,7,20,8,2008,0,小,大,大,小,偶,奇,奇,1,0,1,合,合,质,他,5
1407,8292,2008/10/25,845,8,4,5,17,3,2008,7,大,小,大,大,偶,偶,奇,2,1,2,合,合,质,质,4
1408,8293,2008/10/26,99,0,9,9,18,1,2008,8,小,大,大,大,偶,奇,奇,0,0,0,他,合,合,合,0
1409,8294,2008/10/27,97,0,9,7,16,2,2008,6,小,大,大,大,偶,奇,奇,0,0,1,他,合,质,合,2
1410,8295,2008/10/28,944,9,4,4,17,1,2008,7,大,小,小,大,奇,偶,偶,0,1,1,合,合,合,质,5
1411,8296,2008/10/29,766,7,6,6,19,2,2008,9,大,大,大,大,奇,偶,偶,1,0,0,质,合,合,合,1
1412,8297,2008/10/30,941,9,4,1,14,5,2008,4,大,小,小,小,奇,偶,奇,0,1,1,合,合,他,合,8
1413,8298,2008/10/31,726,7,2,6,15,1,2008,5,大,小,大,大,奇,偶,偶,1,2,0,质,质,合,质,5
1414,8299,2008/11/1,78,0,7,8,15,0,2008,5,小,大,大,大,偶,奇,偶,0,1,2,他,质,合,质,1
1415,8300,2008/11/2,688,6,8,8,22,7,2008,2,大,大,大,小,偶,偶,偶,0,2,2,合,合,合,质,2
1416,8301,2008/11/3,20,0,2,0,2,20,2008,2,小,小,小,小,偶,偶,偶,0,2,0,他,质,他,质,2
1417,8302,2008/11/4,907,9,0,7,16,14,2008,6,大,小,大,大,奇,偶,奇,0,0,1,合,他,质,合,9
1418,8303,2008/11/5,393,3,9,3,15,1,2008,5,小,大,小,大,奇,奇,奇,0,0,0,质,合,质,质,6
1419,8304,2008/11/6,976,9,7,6,22,7,2008,2,大,大,大,小,奇,奇,偶,0,1,0,合,质,合,质,3
1420,8305,2008/11/7,10,0,1,0,1,21,2008,1,小,小,小,小,偶,奇,偶,0,1,0,他,他,他,他,1
1421,8306,2008/11/8,489,4,8,9,21,20,2008,1,小,大,大,小,偶,偶,奇,1,2,0,合,合,合,他,5
1422,8307,2008/11/9,453,4,5,3,12,9,2008,2,小,大,小,小,偶,奇,奇,1,2,0,合,质,质,质,2
1423,8308,2008/11/10,746,7,4,6,17,5,2008,7,大,小,大,大,奇,偶,偶,1,1,0,质,合,合,质,3
1424,8309,2008/11/11,250,2,5,0,7,10,2008,7,小,大,小,大,偶,奇,偶,2,2,0,质,质,他,质,5
1425,8310,2008/11/12,793,7,9,3,19,12,2008,9,大,大,小,大,奇,奇,奇,1,0,0,质,合,质,合,6
1426,8311,2008/11/13,71,0,7,1,8,11,2008,8,小,大,小,大,偶,奇,奇,0,1,1,他,质,他,合,6
1427,8312,2008/11/14,636,6,3,6,15,7,2008,5,大,小,大,大,偶,奇,偶,0,0,0,合,质,合,质,3
1428,8313,2008/11/15,971,9,7,1,17,2,2008,7,大,大,小,大,奇,奇,奇,0,1,1,合,质,他,质,8
1429,8314,2008/11/16,447,4,4,7,15,2,2008,5,小,小,大,大,偶,偶,奇,1,1,1,合,合,质,质,3
1430,8315,2008/11/17,887,8,8,7,23,8,2008,3,大,大,大,小,偶,偶,奇,2,2,1,合,合,质,质,1
1431,8316,2008/11/18,845,8,4,5,17,6,2008,7,大,小,大,大,偶,偶,奇,2,1,2,合,合,质,质,4
1432,8317,2008/11/19,381,3,8,1,12,5,2008,2,小,大,小,小,奇,偶,奇,0,2,1,质,合,他,质,7
1433,8318,2008/11/20,803,8,0,3,11,1,2008,1,大,小,小,小,偶,偶,奇,2,0,0,合,他,质,他,8
1434,8319,2008/11/21,881,8,8,1,17,6,2008,7,大,大,小,大,偶,偶,奇,2,2,1,合,合,他,质,7
1435,8320,2008/11/22,743,7,4,3,14,3,2008,4,大,小,小,小,奇,偶,奇,1,1,0,质,合,质,合,4
1436,8321,2008/11/23,991,9,9,1,19,5,2008,9,大,大,小,大,奇,奇,奇,0,0,1,合,合,他,合,8
1437,8322,2008/11/24,235,2,3,5,10,9,2008,0,小,小,大,小,偶,奇,奇,2,0,2,质,质,质,他,3
1438,8323,2008/11/25,461,4,6,1,11,1,2008,1,小,大,小,小,偶,偶,奇,1,0,1,合,合,他,他,5
1439,8324,2008/11/26,549,5,4,9,18,7,2008,8,大,小,大,大,奇,偶,奇,2,1,0,质,合,合,合,5
1440,8325,2008/11/27,87,0,8,7,15,3,2008,5,小,大,大,大,偶,偶,奇,0,2,1,他,合,质,质,1
1441,8326,2008/11/28,807,8,0,7,15,0,2008,5,大,小,大,大,偶,偶,奇,2,0,1,合,他,质,质,8
1442,8327,2008/11/29,553,5,5,3,13,2,2008,3,大,大,小,小,奇,奇,奇,2,2,0,质,质,质,质,2
